               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10961,            0.041029,             0.04556,          0.00090571,             0.17248,          0.00089307,          0.00016609,             0.10184,            0.032099,            0.043787,              0.0937,              0.0007,              0.0007
                   1,             0.10153,            0.045387,            0.043458,           0.0020128,             0.36654,            0.002952,           0.0007445,            0.088973,            0.031651,            0.040967,             0.08649,           0.0014901,           0.0014901
                   2,            0.090991,            0.049274,            0.041671,           0.0020821,             0.38644,           0.0053836,           0.0012953,            0.086049,            0.030291,             0.03833,             0.07927,           0.0022696,           0.0022696
                   3,            0.085459,            0.051335,            0.038396,           0.0031166,              0.4929,           0.0069696,           0.0022128,            0.081686,            0.030017,            0.033267,            0.072039,           0.0030386,           0.0030386
                   4,            0.081498,            0.048842,            0.035269,             0.34069,            0.079923,            0.027737,            0.008885,            0.077218,            0.029916,              0.0285,            0.064797,            0.003797,            0.003797
                   5,            0.075732,            0.047513,            0.029613,             0.15837,             0.14344,            0.087192,            0.020605,            0.073893,            0.028805,            0.021738,            0.057545,           0.0045449,           0.0045449
                   6,            0.071721,            0.044087,            0.026596,             0.11374,             0.22487,             0.11531,             0.02765,            0.073671,            0.027497,            0.016724,            0.050282,           0.0052822,           0.0052822
                   7,            0.073648,            0.049679,            0.019284,             0.33131,             0.10698,            0.044867,            0.010204,            0.084993,            0.028941,            0.012738,            0.043009,           0.0060089,           0.0060089
                   8,            0.071533,            0.040599,            0.018015,             0.32552,             0.13071,            0.066687,            0.018476,            0.083942,            0.030651,            0.011407,            0.035725,           0.0067251,           0.0067251
                   9,            0.075637,            0.037238,            0.016819,            0.066564,             0.28031,             0.05558,            0.014652,            0.091009,            0.025231,            0.010208,            0.028431,           0.0074307,           0.0074307
                  10,            0.072536,            0.039438,            0.015003,             0.39518,             0.15395,             0.12373,             0.03967,            0.088684,            0.023912,           0.0090454,            0.021126,           0.0081258,           0.0081258
                  11,            0.073882,            0.035125,            0.013202,             0.22622,              0.3642,             0.13202,            0.043356,            0.082686,            0.023459,           0.0079529,             0.01381,           0.0088103,           0.0088103
                  12,             0.07513,            0.035574,            0.012229,             0.23179,             0.18703,             0.13484,            0.046301,             0.07929,            0.023748,           0.0077023,            0.009208,            0.009208,            0.009208
                  13,            0.071711,            0.029409,            0.010185,             0.28887,             0.34298,             0.19257,            0.064146,            0.085672,            0.020251,            0.007618,            0.009208,            0.009208,            0.009208
                  14,            0.069147,            0.034929,           0.0091473,             0.27428,             0.37974,             0.24004,            0.074829,            0.075127,            0.021668,           0.0076504,            0.009142,            0.009142,            0.009142
                  15,            0.064758,            0.032674,           0.0089993,             0.21059,             0.44269,             0.24931,            0.080023,            0.067601,            0.025234,           0.0062622,            0.009076,            0.009076,            0.009076
                  16,            0.064115,            0.033404,           0.0078413,             0.21828,             0.35379,             0.20486,            0.067011,            0.069458,            0.026168,           0.0059797,             0.00901,             0.00901,             0.00901
                  17,            0.061018,            0.029533,           0.0065734,             0.24051,             0.33157,              0.2047,            0.075482,            0.081242,            0.022244,           0.0041765,            0.008944,            0.008944,            0.008944
                  18,            0.063689,             0.02991,            0.005823,             0.28448,              0.3829,             0.30214,            0.098266,            0.060471,            0.022275,           0.0036112,            0.008878,            0.008878,            0.008878
                  19,            0.058832,            0.029449,           0.0047424,             0.41872,             0.35515,             0.28233,            0.086275,            0.067836,            0.022243,           0.0032726,            0.008812,            0.008812,            0.008812
                  20,            0.058034,             0.02843,           0.0056756,              0.3034,             0.51647,             0.32526,             0.12232,            0.062819,            0.021008,           0.0033976,            0.008746,            0.008746,            0.008746
                  21,             0.05518,            0.027435,           0.0044602,              0.3317,              0.3783,             0.26683,             0.11273,            0.064498,            0.021909,           0.0032473,             0.00868,             0.00868,             0.00868
                  22,             0.05296,            0.029591,           0.0043738,              0.4325,              0.4646,             0.37714,             0.12945,            0.059311,             0.02227,             0.00327,            0.008614,            0.008614,            0.008614
                  23,            0.051967,            0.025773,           0.0036892,             0.40855,             0.53798,             0.44204,             0.18143,             0.05773,            0.021487,           0.0033319,            0.008548,            0.008548,            0.008548
                  24,            0.050072,            0.026643,           0.0037357,             0.35739,             0.51354,             0.44985,             0.20253,            0.057283,            0.021208,           0.0044037,            0.008482,            0.008482,            0.008482
